,Interest,YrSold,MoSold
0,4.28516129032258,2006,1
1,4.491428571428572,2006,2
2,4.589354838709676,2006,3
3,4.790333333333334,2006,4
4,4.940322580645163,2006,5
5,4.9910000000000005,2006,6
6,5.235161290322582,2006,7
7,5.2464516129032255,2006,8
8,5.254666666666668,2006,9
9,5.245161290322579,2006,10
10,5.245666666666668,2006,11
11,5.23806451612903,2006,12
12,5.248387096774192,2007,1
13,5.258928571428571,2007,2
14,5.256774193548388,2007,3
15,5.249666666666668,2007,4
16,5.253548387096773,2007,5
17,5.254,2007,6
18,5.258387096774193,2007,7
19,5.022258064516129,2007,8
20,4.9380000000000015,2007,9
21,4.7554838709677405,2007,10
22,4.486666666666668,2007,11
23,4.2445161290322595,2007,12
24,3.940322580645162,2008,1
25,2.980689655172414,2008,2
26,2.6103225806451613,2008,3
27,2.2783333333333338,2008,4
28,1.9783870967741932,2008,5
29,2.001,2008,6
30,2.009677419354839,2008,7
31,1.996451612903225,2008,8
32,1.811666666666666,2008,9
33,0.9693548387096774,2008,10
34,0.38766666666666655,2008,11
35,0.1551612903225806,2008,12
36,0.15419354838709684,2009,1
37,0.2221428571428572,2009,2
38,0.18064516129032263,2009,3
39,0.15033333333333332,2009,4
40,0.17741935483870971,2009,5
41,0.2063333333333333,2009,6
42,0.1558064516129032,2009,7
43,0.16032258064516125,2009,8
44,0.14666666666666667,2009,9
45,0.11806451612903225,2009,10
46,0.119,2009,11
47,0.11806451612903227,2009,12
48,0.11000000000000003,2010,1
49,0.12642857142857145,2010,2
50,0.16451612903225812,2010,3
51,0.1983333333333334,2010,4
52,0.2006451612903227,2010,5
53,0.1766666666666667,2010,6
54,0.18258064516129036,2010,7
55,0.18935483870967754,2010,8
56,0.1946666666666667,2010,9
57,0.1912903225806453,2010,10
58,0.19433333333333339,2010,11
59,0.183225806451613,2010,12
